peak_name,corr_promoter,corr_3UTR,gene,ENSEMBL
chr1:26394121-26394344,-0.1025956861994501,0.9997944724437166,TRIM63,ENSG00000158022
chr1:176152651-176153078,-0.10424140847215542,0.9996236706644313,COP1,ENSG00000143207
chr1:193155306-193155709,-0.08593060328089634,0.9980324346663956,B3GALT2,ENSG00000162630
chr1:204839503-204839938,-0.05880775448800001,0.999003973935255,NFASC,ENSG00000163531
chr1:244217101-244217315,-0.047124270936262834,0.9983210159667848,ZBTB18,ENSG00000179456
chr2:29320410-29320830,-0.07046950142224018,0.9991261586419208,CLIP4,ENSG00000115295
chr2:33049553-33049815,-0.12195913996160773,0.9990424636435694,LINC00486,ENSG00000230876
chr2:33051416-33051655,-0.08877623245237476,0.9999753818398505,LINC00486,ENSG00000230876
chr2:88382432-88382767,-0.08576815810330968,0.9999285579874818,MIR4780,ENSG00000265003
chr2:159921451-159921781,-0.08280835283236185,0.9998376067926166,TANC1,ENSG00000115183
chr2:170334790-170335198,-0.13707181287197343,0.9976794162394643,KLHL41,ENSG00000239474
chr2:202502912-202503185,-0.06322552444167201,0.9992511892381015,TMEM237,ENSG00000155755
chr3:123339316-123339634,-0.0564357037473087,0.9974161670990831,MYLK,ENSG00000065534
chr4:170534497-170534728,-0.13461027796276295,0.9981260856248447,NEK1,ENSG00000137601
chr5:158636526-158636802,0.9976804177740953,-0.09381572724358485,RNF145,ENSG00000145860
chr6:13407764-13408247,-0.06624576980748123,0.9982785312113185,GFOD1,ENSG00000145990
chr6:15402054-15402254,-0.054344247851019864,0.9988262204469732,JARID2,ENSG00000008083
chr7:101272553-101272804,-0.09926602640433077,0.9998969605188873,MYL10,ENSG00000106436
chr7:116338572-116339061,-0.07481374868976236,0.9996502498975111,MET,ENSG00000105976
chr8:131455957-131456393,0.9982412896350071,-0.0922678265944362,ASAP1,ENSG00000153317
chr10:11206544-11206980,-0.07271070425880254,0.9996944580409993,CELF2,ENSG00000048740
chr10:29924621-29924966,-0.079832321925799,0.9996737280223316,SVIL,ENSG00000197321
chr10:97182109-97182473,-0.10673314815986348,0.9997867851685909,SORBS1,ENSG00000095637
chr10:99030409-99030661,-0.052678974711201074,0.9985298633726705,ARHGAP19,ENSG00000213390
chr11:59632550-59633169,-0.0618452987349381,0.9993888120407953,TCN1,ENSG00000134827
chr11:61717519-61717875,-0.08494215065421669,0.9999378384125106,BEST1,ENSG00000167995
chr11:65729815-65730084,-0.046342584256248535,0.9981275968018207,SART1,ENSG00000175467
chr12:32655811-32656117,-0.06322552444167201,0.9992511892381015,FGD4,ENSG00000139132
chr12:56476892-56477144,-0.11707297062791093,0.9992766485709451,ERBB3,ENSG00000065361
chr12:95010111-95010311,-0.043990977689646445,0.9983852361920521,TMCC3,ENSG00000057704
chr12:104682547-104682747,-0.03906346647728543,0.9974666734833354,TXNRD1,ENSG00000198431
chr12:120907468-120907724,0.9985718385773114,-0.10869059965886703,SRSF9,ENSG00000111786
chr13:115080951-115081276,-0.14103033180753843,0.9975491404964947,CHAMP1,ENSG00000198824
chr14:31079924-31080399,-0.03316933717602591,0.9973937601476349,G2E3,ENSG00000092140
chr14:65483191-65483428,-0.07207660219598652,0.9996291441774947,CHURC1-FNTB,ENSG00000125954
chr14:68228853-68229093,-0.09164462360555722,0.9999585298926195,ZFYVE26,ENSG00000072121
chr14:94442339-94442601,-0.11280133566405648,0.9995162809401281,ASB2,ENSG00000100628
chr15:39543639-39543980,-0.08234732165051989,0.999901011798875,LINC02915,ENSG00000175746
chr15:50195396-50195880,-0.0748805948242125,0.9985531589140998,ATP8B4,ENSG00000104043
chr15:79747715-79748083,-0.10197613895865554,0.9998476027694685,MINAR1,ENSG00000169330
chr15:88119149-88119448,-0.06479121230781223,0.9993307577581136,LINC00052,ENSG00000259527
chr16:524432-524853,-0.08853039420170303,0.9999223206682014,RAB11FIP3,ENSG00000090565
chr16:73126053-73126567,-0.09939759747777106,0.9995838384167074,HCCAT5,ENSG00000260880
chr17:40119474-40119704,-0.09130339295617061,0.9999720096176393,CNP,ENSG00000173786
chr18:21718771-21719038,0.999900540222384,-0.09731072478577628,CABYR,ENSG00000154040
chr19:35605615-35606095,-0.12082257126856842,0.9980812511135633,FXYD3,ENSG00000089356
chr20:4990030-4990470,-0.11147843450249556,0.999120214396624,SLC23A2,ENSG00000089057
chr20:39833064-39833375,-0.12476333653966934,0.9986438916090772,ZHX3,ENSG00000174306
chr20:45004442-45004800,-0.06444189713548583,0.997987032857023,ELMO2,ENSG00000062598
chr20:48532959-48533267,-0.13008116724306068,0.9976877864508898,SPATA2,ENSG00000158480
chr22:38380499-38380726,1.0,-0.09425263800056576,SOX10,ENSG00000100146
